filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,800,600,clock,421,91,500,430
1.jpg,800,600,street,77,328,791,590
1.jpg,800,600,man,238,249,298,511
1.jpg,800,600,car,479,315,553,413
1.jpg,800,600,sign,118,13,206,195
1.jpg,800,600,building,1,2,219,538
1.jpg,800,600,sidewalk,77,331,799,597
1.jpg,800,600,shirt,241,289,300,390
1.jpg,800,600,street,358,283,798,516
1.jpg,800,600,car,708,342,799,516
1.jpg,800,600,man,372,264,447,515
1.jpg,800,600,pants,245,384,283,502
1.jpg,800,600,jacket,356,296,445,393
1.jpg,800,600,pants,382,369,436,497
1.jpg,800,600,sidewalk,343,318,393,507
1.jpg,800,600,wall,0,1,134,534
1.jpg,800,600,tree,249,0,425,360
1.jpg,800,600,shirt,384,306,421,372
1.jpg,800,600,man,362,264,459,512
1.jpg,800,600,man,230,251,302,515
1.jpg,800,600,road,435,295,775,513
1.jpg,800,600,trees,190,0,796,557
2.jpg,800,600,man,324,320,466,575
2.jpg,800,600,car,239,347,375,473
2.jpg,800,600,road,3,321,375,600
2.jpg,800,600,tree,0,146,73,369
2.jpg,800,600,tree,58,155,119,356
2.jpg,800,600,tree,110,195,193,358
2.jpg,800,600,sidewalk,384,343,799,590
2.jpg,800,600,window,628,64,654,243
2.jpg,800,600,window,645,60,744,239
2.jpg,800,600,window,742,71,799,230
2.jpg,800,600,window,644,259,749,373
2.jpg,800,600,window,746,259,798,367
2.jpg,800,600,building,547,4,798,388
2.jpg,800,600,car,346,327,432,403
2.jpg,800,600,sign,230,287,252,354
2.jpg,800,600,trees,9,147,207,358
2.jpg,800,600,building,165,13,447,311
2.jpg,800,600,pole,405,34,483,472
3.jpg,640,480,woman,544,89,638,238
3.jpg,640,480,wall,3,6,261,271
3.jpg,640,480,hair,585,98,640,207
3.jpg,640,480,floor,110,340,500,479
3.jpg,640,480,wall,304,30,521,127
3.jpg,640,480,wall,3,2,555,67
3.jpg,640,480,table,129,233,639,477
3.jpg,640,480,floor,125,376,266,471
4.jpg,640,480,chair,387,214,479,371
4.jpg,640,480,floor,1,290,632,478
4.jpg,640,480,window,485,4,639,307
4.jpg,640,480,table,412,238,636,438
4.jpg,640,480,door,367,0,487,327
5.jpg,800,600,floor,2,490,351,598
5.jpg,800,600,wall,389,9,793,528
5.jpg,800,600,light,72,3,191,42
5.jpg,800,600,chair,144,358,318,598
5.jpg,800,600,door,3,8,43,537
5.jpg,800,600,window,42,41,133,428
5.jpg,800,600,chair,377,348,543,599
5.jpg,800,600,window,44,148,131,238
5.jpg,800,600,wall,145,3,390,531
6.jpg,800,600,plate,38,102,276,219
6.jpg,800,600,table,2,11,799,531
6.jpg,800,600,leg,138,311,221,514
6.jpg,800,600,leg,7,268,62,398
6.jpg,800,600,chair,0,2,300,523
7.jpg,800,600,woman,6,316,150,584
7.jpg,800,600,hair,5,320,33,369
7.jpg,800,600,pants,97,549,170,593
7.jpg,800,600,woman,6,309,262,596
7.jpg,800,600,floor,184,526,441,599
7.jpg,800,600,wall,277,15,457,264
7.jpg,800,600,wall,1,4,282,377
7.jpg,800,600,window,489,3,798,404
7.jpg,800,600,chair,1,550,301,599
8.jpg,800,600,man,117,286,383,598
8.jpg,800,600,hand,334,400,382,447
8.jpg,800,600,shirt,115,375,345,600
8.jpg,800,600,wall,596,0,799,434
8.jpg,800,600,pants,208,510,366,599
8.jpg,800,600,chair,10,471,162,598
9.jpg,640,480,chair,153,284,254,430
9.jpg,640,480,window,354,83,446,240
9.jpg,640,480,wall,26,323,182,471
9.jpg,640,480,chair,495,223,524,281
9.jpg,640,480,wall,3,0,354,368
9.jpg,640,480,floor,6,286,640,480
9.jpg,640,480,building,562,127,638,254
10.jpg,800,600,man,22,488,121,536
10.jpg,800,600,table,0,368,472,599
10.jpg,800,600,floor,77,472,798,598
10.jpg,800,600,jacket,422,436,511,558
10.jpg,800,600,man,576,270,704,419
10.jpg,800,600,jacket,532,354,678,570
10.jpg,800,600,wall,3,2,799,532
10.jpg,800,600,chair,558,352,715,555
10.jpg,800,600,shirt,586,306,701,411
10.jpg,800,600,table,2,395,202,599
11.jpg,800,600,chair,244,186,527,576
11.jpg,800,600,table,17,154,605,263
11.jpg,800,600,building,631,5,790,133
11.jpg,800,600,window,485,3,799,186
11.jpg,800,600,wall,6,8,50,178
11.jpg,800,600,table,602,158,799,287
11.jpg,800,600,floor,159,341,599,492
11.jpg,800,600,plate,609,177,673,208
12.jpg,800,600,wall,2,4,799,344
13.jpg,800,600,wall,1,0,799,477
13.jpg,800,600,jacket,561,254,795,596
13.jpg,800,600,chair,602,284,799,597
13.jpg,800,600,floor,237,526,639,599
14.jpg,800,600,table,8,288,798,598
14.jpg,800,600,people,101,105,351,315
14.jpg,800,600,wall,0,1,754,367
15.jpg,800,600,table,4,294,800,597
15.jpg,800,600,wall,1,0,797,303
16.jpg,800,600,street,4,226,260,596
16.jpg,800,600,boy,281,212,358,379
16.jpg,800,600,pants,295,287,341,368
16.jpg,800,600,man,446,203,520,384
16.jpg,800,600,road,4,226,223,595
16.jpg,800,600,street,11,494,789,578
16.jpg,800,600,street,19,201,146,482
16.jpg,800,600,car,96,224,234,356
16.jpg,800,600,sign,190,48,249,140
16.jpg,800,600,boy,361,227,425,370
16.jpg,800,600,building,82,9,235,206
16.jpg,800,600,man,452,165,511,378
